"periodo","grupo","edificio","planta","salon","turno","activo"
"2026-3","LIMI007","F","ALTA","Salón 4","MATUTINO","TRUE"
"2026-3","LIMI014","F","ALTA","Salón 5","MATUTINO","TRUE"
"2026-3","LIMI012","F","ALTA","Salón 6","MATUTINO","TRUE"
"2026-3","LIM019","F","ALTA","Salón 7","MATUTINO","TRUE"
"2026-3","LIMI013","F","ALTA","Salón 8","MATUTINO","TRUE"
"2026-3","LIMA017","F","ALTA","Salón 9","MATUTINO","TRUE"
"2026-3","LIMI008","F","ALTA","Salón 3","MATUTINO","TRUE"
"2026-3","LII026","F","ALTA","Salón 2","MATUTINO","TRUE"
"2026-3","LII025","F","ALTA","Salón 1","MATUTINO","TRUE"
"2026-3","LIMA014","F","ALTA","Polifuncional I","MATUTINO","TRUE"
"2026-3","LIMA001","F","ALTA","Salón 10","MATUTINO","TRUE"
"2026-3","LIMA019","F","ALTA","Polifuncional II","MATUTINO","TRUE"
"2026-3","LII015","F","BAJA","Salón 4","MATUTINO","TRUE"
"2026-3","LIMA012","F","BAJA","Salón 5","MATUTINO","TRUE"
"2026-3","LIM018","F","BAJA","Salón 6","MATUTINO","TRUE"
"2026-3","LII010","F","BAJA","Salón 7","MATUTINO","TRUE"
"2026-3","LII023","F","BAJA","Salón 8","MATUTINO","TRUE"
"2026-3","LIMA005","F","BAJA","Salón 9","MATUTINO","TRUE"
"2026-3","LII012","F","BAJA","Salón 3","MATUTINO","TRUE"
"2026-3","LII011","F","BAJA","Salón 2","MATUTINO","TRUE"
"2026-3","LIM016","F","BAJA","Salón 1","MATUTINO","TRUE"
"2026-3","LII027","F","BAJA","Salón 10","MATUTINO","TRUE"
"2026-3","LIMA018","G","BAJA","Salón 3","MATUTINO","TRUE"
"2026-3","LIMI015","G","BAJA","Salón 2","MATUTINO","TRUE"
"2026-3","LIMA016","I","BAJA","Área 7 · Lab 7","MATUTINO","TRUE"
"2026-3","LIM021","I","BAJA","Área 3 · Lab 3","MATUTINO","TRUE"
"2026-3","LIMI017","I","BAJA","Área 8 · Lab 8","MATUTINO","TRUE"
"2026-3","LIM022","I","ALTA","Área 2 · Lab 2","MATUTINO","TRUE"
"2026-3","LIMA002","NANO (H1)","BAJA","Salón 1","MATUTINO","TRUE"
"2026-3","LII020","NANO (H1)","BAJA","Salón 2","MATUTINO","TRUE"
"2026-3","LIMA015","NANO (H1)","BAJA","Salón 3","MATUTINO","TRUE"
"2026-3","LII018","NANO (H1)","BAJA","Salón 4","MATUTINO","TRUE"
"2026-3","LIM013","NANO (H1)","BAJA","Salón 5 · Lab 1","MATUTINO","TRUE"
"2026-3","LII021","NANO (H1)","ALTA","Salón 5","MATUTINO","TRUE"
"2026-3","LIM017","NANO (H1)","ALTA","Salón 6","MATUTINO","TRUE"
"2026-3","LIMA004","NANO (H1)","ALTA","Salón 7","MATUTINO","TRUE"
"2026-3","LII022","NANO (H1)","ALTA","Salón 8","MATUTINO","TRUE"
"2026-3","LII024","NANO (H1)","ALTA","Salón 9","MATUTINO","TRUE"
"2026-3","LII028","NANO (H1)","ALTA","Salón 10","MATUTINO","TRUE"
"2026-3","LIMI016","NANO (H1)","ALTA","Salón 11 · Lab 2","MATUTINO","TRUE"
"2026-3","LIM020","AMBIENTAL (H)","ALTA","Salón 11","MATUTINO","TRUE"
"2026-3","LIMI010","AMBIENTAL (H)","ALTA","Salón 12","MATUTINO","TRUE"
"2026-3","LIMI011","AMBIENTAL (H)","ALTA","Salón 13","MATUTINO","TRUE"
"2026-3","LII013","PIDET","ALTA","Posgrado 3","MATUTINO","TRUE"
"2026-3","LINT005","PIDET","ALTA","Posgrado 4","MATUTINO","TRUE"
"2026-3","LINT006","PIDET","ALTA","Posgrado 5","MATUTINO","TRUE"
"2026-3","LINT003","PIDET","ALTA","Posgrado 6","MATUTINO","TRUE"
"2026-3","LIM015","PIDET","ALTA","Posgrado 7","MATUTINO","TRUE"
"2026-3","LII016","PIDET","ALTA","Posgrado 1","MATUTINO","TRUE"
"2026-3","LIMA006","PIDET","BAJA","Posgrado 2","MATUTINO","TRUE"
"2026-3","LIMA013","CIC","ALTA","Aula MIRAI","MATUTINO","TRUE"
"2026-3","LIMA010","CIC","ALTA","Aula B","MATUTINO","TRUE"
"2026-3","LIMA011","CIC","ALTA","Aula A","MATUTINO","TRUE"
"2026-3","LINT004","CIC","ALTA","Aula QSM","MATUTINO","TRUE"
"2026-3","LIM012","CIC","BAJA","Aula HUAWEI","MATUTINO","TRUE"
