"edificio","planta","salon","posicion","id_aula"
"F","ALTA","Salón 1","1","F-ALTA-1"
"F","ALTA","Salón 2","2","F-ALTA-2"
"F","ALTA","Salón 3","3","F-ALTA-3"
"F","ALTA","Salón 4","4","F-ALTA-4"
"F","ALTA","Salón 5","5","F-ALTA-5"
"F","ALTA","Salón 6","6","F-ALTA-6"
"F","ALTA","Salón 7","7","F-ALTA-7"
"F","ALTA","Salón 8","8","F-ALTA-8"
"F","ALTA","Salón 9","9","F-ALTA-9"
"F","ALTA","Salón 10","10","F-ALTA-10"
"F","ALTA","Polifuncional I","POLIFUNCIONAL_I","F-ALTA-POLIFUNCIONAL_I"
"F","ALTA","Polifuncional II","POLIFUNCIONAL_II","F-ALTA-POLIFUNCIONAL_II"
"F","BAJA","Salón 1","1","F-BAJA-1"
"F","BAJA","Salón 2","2","F-BAJA-2"
"F","BAJA","Salón 3","3","F-BAJA-3"
"F","BAJA","Salón 4","4","F-BAJA-4"
"F","BAJA","Salón 5","5","F-BAJA-5"
"F","BAJA","Salón 6","6","F-BAJA-6"
"F","BAJA","Salón 7","7","F-BAJA-7"
"F","BAJA","Salón 8","8","F-BAJA-8"
"F","BAJA","Salón 9","9","F-BAJA-9"
"F","BAJA","Salón 10","10","F-BAJA-10"
"F","BAJA","OGP","OGP","F-BAJA-OGP"
"G","BAJA","Salón 2","2","G-BAJA-2"
"G","BAJA","Salón 3","3","G-BAJA-3"
"I","ALTA","Área 2 · Lab 2","AREA_2","I-ALTA-AREA_2"
"I","BAJA","Área 3 · Lab 3","AREA_3","I-BAJA-AREA_3"
"I","BAJA","Área 7 · Lab 7","AREA_7","I-BAJA-AREA_7"
"I","BAJA","Área 8 · Lab 8","AREA_8","I-BAJA-AREA_8"
"NANO (H1)","BAJA","Salón 1","1","NANO_H1-BAJA-1"
"NANO (H1)","BAJA","Salón 2","2","NANO_H1-BAJA-2"
"NANO (H1)","BAJA","Salón 3","3","NANO_H1-BAJA-3"
"NANO (H1)","BAJA","Salón 4","4","NANO_H1-BAJA-4"
"NANO (H1)","BAJA","Salón 5 · Lab 1","5","NANO_H1-BAJA-5"
"NANO (H1)","ALTA","Salón 5","5","NANO_H1-ALTA-5"
"NANO (H1)","ALTA","Salón 6","6","NANO_H1-ALTA-6"
"NANO (H1)","ALTA","Salón 7","7","NANO_H1-ALTA-7"
"NANO (H1)","ALTA","Salón 8","8","NANO_H1-ALTA-8"
"NANO (H1)","ALTA","Salón 9","9","NANO_H1-ALTA-9"
"NANO (H1)","ALTA","Salón 10","10","NANO_H1-ALTA-10"
"NANO (H1)","ALTA","Salón 11 · Lab 2","11","NANO_H1-ALTA-11"
"AMBIENTAL (H)","ALTA","Salón 11","11","AMBIENTAL_H-ALTA-11"
"AMBIENTAL (H)","ALTA","Salón 12","12","AMBIENTAL_H-ALTA-12"
"AMBIENTAL (H)","ALTA","Salón 13","13","AMBIENTAL_H-ALTA-13"
"PIDET","ALTA","Posgrado 1","POSGRADO_1","PIDET-ALTA-POSGRADO_1"
"PIDET","ALTA","Posgrado 3","POSGRADO_3","PIDET-ALTA-POSGRADO_3"
"PIDET","ALTA","Posgrado 4","POSGRADO_4","PIDET-ALTA-POSGRADO_4"
"PIDET","ALTA","Posgrado 5","POSGRADO_5","PIDET-ALTA-POSGRADO_5"
"PIDET","ALTA","Posgrado 6","POSGRADO_6","PIDET-ALTA-POSGRADO_6"
"PIDET","ALTA","Posgrado 7","POSGRADO_7","PIDET-ALTA-POSGRADO_7"
"PIDET","BAJA","Posgrado 2","POSGRADO_2","PIDET-BAJA-POSGRADO_2"
"CIC","ALTA","Aula A","AULA_A","CIC-ALTA-AULA_A"
"CIC","ALTA","Aula B","AULA_B","CIC-ALTA-AULA_B"
"CIC","ALTA","Aula MIRAI","AULA_MIRAI","CIC-ALTA-AULA_MIRAI"
"CIC","ALTA","Aula QSM","AULA_QSM","CIC-ALTA-AULA_QSM"
"CIC","BAJA","Aula HUAWEI","HUAWEI","CIC-BAJA-HUAWEI"
"G","BAJA","Salón 1","1","G-BAJA-1"
